fioriId,RoleName,AppName,ApplicationType,UITechnology,BSPName,BSPApplicationURL,SAPUI5ComponentId,PrimaryODataServiceName,PrimaryODataServiceVersion,AdditionalODataServices,AdditionalODataServicesVersions,OData V4 Service Group,Link,
F0251A,Production Planner,Manage Material Coverage (Version 2),Transactional,SAP Fiori elements,PP_MATSHRT_MGS1,/sap/bc/ui5_ui5/sap/pp_matshrt_mgs1,i2d.pp.materialshortage.manages1,PP_MRP_MANAGE_MATERIAL_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0251A
F0263,Production Planner,Monitor Internal Requirements,Transactional,SAP Fiori (SAPUI5),PP_UNCOVPR_MRS1,/sap/bc/ui5_ui5/sap/pp_uncovpr_mrs1,i2d.pp.uncoveredpro.monitor.s1,PP_MRP_COCKPIT_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0263
F0266,Production Planner,Monitor Production Orders or Process Orders,Transactional,SAP Fiori (SAPUI5),PP_PRDORDI_MRS1,/sap/bc/ui5_ui5/sap/pp_prdordi_mrs1,i2d.pp.prdorderissue.monitor.s1,PP_MRP_COCKPIT_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0266
F0266A,Production Planner,Monitor Production Orders or Process Orders (Version 2),Transactional,SAP Fiori (SAPUI5),PP_PRDORD_MONS1,/sap/bc/ui5_ui5/sap/pp_prdord_mons1,i2d.pp.prdorderv2.monitors1,PP_MRP_COCKPIT_SRV,0001,"PP_MRP_AOR_SRV, PP_MRP_MATERIAL_COVERAGE_POVER_SRV_","0001, 0001",,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0266A
F0270,Production Planner,Manage Internal Requirements,Transactional,SAP Fiori (SAPUI5),PP_UNCOVPR_DTS1,/sap/bc/ui5_ui5/sap/pp_uncovpr_dts1,i2d.pp.uncoveredpro.details.s1,PP_MRP_COCKPIT_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0270
F0273,Production Planner,Manage Production Orders or Process Orders,Transactional,SAP Fiori (SAPUI5),PP_PRDORDI_DTS1,/sap/bc/ui5_ui5/sap/pp_prdordi_dts1,i2d.pp.prdorderissue.details.s1,PP_MRP_COCKPIT_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0273
F0284,Project Team Member,Confirm Project Tasks,Transactional,SAP Fiori (SAPUI5),PPMPROTSKCNFS1,/sap/bc/ui5_ui5/sap/ppmprotskcnfs1,i2d.ppm.protask.confirms1,PPM_PROTSK_CNF,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0284
F0286A,Project Financial Controller,Milestone,Fact sheet,SAP Fiori elements,PS_MLST_OVWS1,/sap/bc/ui5_ui5/sap/ps_mlst_ovws1,i2d.ps.projectmilestone.overviews1,PS_MILESTONE_OVW_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0286A
F0288A,Project Logistics Controller,Network (S/4HANA),Fact sheet,SAP Fiori elements,PS_NET_OVWS1,/sap/bc/ui5_ui5/sap/ps_net_ovws1,i2d.ps.projectnetwork.overviews1,PS_PROJNETWORK_OVERV_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0288A
F0289A,Project Logistics Controller,Network Activity (S/4HANA),Fact sheet,SAP Fiori elements,PS_ACT_OVWS1,/sap/bc/ui5_ui5/sap/ps_act_ovws1,i2d.ps.networkactivity.overviews1,PS_NTWKACTY_OVW_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0289A
