FioriId;AppName;Link;MainServiceName;ServiceUri;ODataVersion;SEGWProject;ProgrammingModel;BusinessEntity;FPM_Extended
F5110;ManageWorkflows/AdvancedComplianceReporting;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F5110;SWF_FLEX_DEF_SRV;/sap/opu/odata/sap/SWF_FLEX_DEF_SRV;2.0;SWF_FLEX_DEF;N/A;;N/A
F5121;MyInboxforPaymentItems(China);https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F5121;TASKPROCESSING;/sap/opu/odata/IWPGW/TASKPROCESSING;2.0;;N/A;;N/A
F5168;ScheduleBackflush/GoodsMovementfromProductionforCustomerJITCalls;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F5168;APJ_JOB_MANAGEMENT_SRV;/sap/opu/odata/sap/APJ_JOB_MANAGEMENT_SRV;2.0;APJ_JOB_MANAGEMENT;N/A;;N/A
F5172;ImportBankAccountBalances;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F5172;bankcashbalance_import;/sap/opu/odata4/sap/bankcashbalance_import_o4/srvd/sap/bankcashbalance_import/0001;4.0;;RAP;;N/A
F5175;ManageBankAccountBalances;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F5175;BANKCASHBALANCE_O2;/sap/opu/odata/sap/BANKCASHBALANCE_O2;2.0;;RAP;C_BankCashBalance;Yes
F5176;MonitorBankAccountBalances;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F5176;BANKCASHBALANCE_MONITOR_O2;/sap/opu/odata/sap/BANKCASHBALANCE_MONITOR_O2;2.0;;N/A;;N/A
F5210;MonitorMassChangesofSalesDocuments;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F5210;UI_SLSDOCMASSCHANGEREQUEST;/sap/opu/odata/sap/UI_SLSDOCMASSCHANGEREQUEST;2.0;;N/A;;N/A
F5211;MassChangeofSalesOrders;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F5211;SD_MCC_SO_MASS_UPDATE_SRV;/sap/opu/odata/sap/SD_MCC_SO_MASS_UPDATE_SRV;2.0;SD_MCC_SO_MASS_UPDATE;N/A;;N/A
F5218;ManageDocumentandReportingCompliance;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F5218;UI_GCO_DASHBOARD;/sap/opu/odata/sap/UI_GCO_DASHBOARD;2.0;;N/A;SRFD_RpgTaskDetailsUQ;N/A
F5240;CentralFioricomponentforSmartBusinessapp;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F5240;SMART_BUSINESS_RUNTIME_SRV;/sap/opu/odata/SSB/SMART_BUSINESS_RUNTIME_SRV;2.0;;N/A;;N/A
